direccion,horario,latitud,localidad,longitud,municipio,precio_gasoleo_a,precio_gasoleo_b,precio_gasoleo_premium,precio_gasolina_95_e10,precio_gasolina_95_e5,precio_gasolina_95_e5_premium,precio_gasolina_98_e5,provincia,rotulo
"AVENIDA CASTILLA LA MANCHA, 26",L-D: 07:00-22:00,39.211417,ABENGIBRE,-1.539167,Abengibre,1.599,1.219,,,1.699,,,ALBACETE,Nº 10.935
"AVENIDA 1º DE MAYO, S/N",L-S: 08:00-22:00; D: 09:00-21:00,38.985667,ALBACETE,-1.8685,Albacete,1.729,,1.769,,1.779,,1.889,ALBACETE,CARREFOUR
"CALLE FEDERICO GARCIA LORCA, 1",L-D: 24H,39.000861,ALBACETE,-1.849833,Albacete,1.589,,,,1.659,,,ALBACETE,PLENOIL
"CALLE PRINCIPE DE ASTURIAS (POLÍGONO DE ROMICA), 5",L-D: 06:00-21:30,39.054694,ALBACETE,-1.832,Albacete,1.709,,1.799,,1.759,,1.901,ALBACETE,BP ROMICA
"CALLE FEDERICO GARCIA LORCA, 5",L-S: 05:00-23:00,38.997722,ALBACETE,-1.846361,Albacete,1.745,,,,,,,ALBACETE,CEPSA
"CL PASEO DE LA CUBA, 15",L-D: 06:00-22:00,38.999722,ALBACETE,-1.854556,Albacete,1.719,,1.779,,1.769,,1.889,ALBACETE,REPSOL
"PASEO CUBA (LA), 36",L-D: 06:00-23:00,39.005083,ALBACETE,-1.859917,Albacete,1.749,,1.815,,1.789,,1.921,ALBACETE,CEPSA
"AVENIDA MENÉNDEZ PIDAL, 58",L-D: 24H,39.003333,ALBACETE,-1.864917,Albacete,1.709,,1.759,,1.769,,1.879,ALBACETE,TAMOS
"AVENIDA ESCRITOR RODRIGO RUBIO, 3",L-S: 09:00-21:30,39.006889,ALBACETE,-1.885361,Albacete,1.578,,1.638,,1.688,,,ALBACETE,A&A
"CALLE HERMANOS FALCÓ, 2",L-D: 06:30-22:30,38.98925,ALBACETE,-1.849028,Albacete,1.759,,1.829,,1.799,,1.939,ALBACETE,CEPSA
"AVENIDA 1º DE MAYO, S/N",L-D: 07:00-23:00,38.985194,ALBACETE,-1.866806,Albacete,1.639,,,,1.719,,,ALBACETE,PETROCAMP
"CALLE CTRA. DE JAEN, 79",L-D: 06:00-23:00,38.988111,ALBACETE,-1.883694,Albacete,1.729,,1.799,,1.799,,1.929,ALBACETE,REPSOL
"CALLE ALCALDE CONANGLA (C.C. EROSKI), S/N",L-S: 07:00-23:00; D: 08:00-23:00,38.988972,ALBACETE,-1.847361,Albacete,1.569,,1.659,,1.639,,1.699,ALBACETE,FAMILY ENERGY
"AVDA. DE ESPAÑA (PRÓX. A C/ SAN JUAN), S/N",L-D: 07:00-23:00,38.982167,ALBACETE,-1.853306,Albacete,1.629,,,,1.729,,,ALBACETE,INPEALSA
CARRETERA JAEN KM. 2,L-D: 24H,38.994667,ALBACETE,-1.871722,Albacete,1.729,,1.789,,1.779,1.819,1.889,ALBACETE,REPSOL
CARRETERA N-322 KM. 359,L-V: 07:00-21:00; S-D: 09:00-14:00,39.033139,ALBACETE,-1.845083,Albacete,1.709,,1.769,,1.759,,1.889,ALBACETE,REPSOL
"CALLE ALMANSA, 2",L-D: 06:00-23:00,38.984139,ALBACETE,-1.847083,Albacete,1.749,,1.815,,1.779,,1.911,ALBACETE,CEPSA
"CR N-301, 244",L-D: 24H,39.027778,ALBACETE,-1.892972,Albacete,1.729,,1.789,,1.769,,1.889,ALBACETE,REPSOL
"PG CAMPOLLANO-P. 2-CT, S.N.",L-V: 06:00-22:00; S: 07:30-15:30; D: 09:00-15:00,39.012583,ALBACETE,-1.874972,Albacete,1.729,,1.789,,1.759,,1.879,ALBACETE,REPSOL
"AVDA. DE LOS TOREROS, S/N",L-D: 07:00-23:00,38.998222,ALBACETE,-1.869889,Albacete,1.629,,1.679,,1.729,,,ALBACETE,INPEALSA
CARRETERA NACIONAL 322 PTO KM 347 KM. 347,L-S: 07:00-22:00,38.965639,ALBACETE,-1.9355,Albacete,1.619,,,,,,,ALBACETE,P347
"CR N-322, 337,8",L-D: 06:30-22:00,38.925833,ALBACETE,-2.031861,Albacete,1.739,,1.809,,1.789,,1.909,ALBACETE,REPSOL
CARRETERA NACIONAL 301 KM. 256,L-D: 24H,38.929389,ALBACETE,-1.831639,Albacete,1.609,,,,1.729,,,ALBACETE,INPEALSA
CARRETERA N-322 KM. 349,L-D: 24H,38.970167,ALBACETE,-1.919778,Albacete,1.759,,1.829,,1.789,,1.849,ALBACETE,CEPSA
"AVENIDA PRINCIPE, 2",L-D: 08:00-16:00,38.900944,SANTA ANA,-1.994028,Albacete,1.689,1.416,1.749,,1.719,,1.839,ALBACETE,REPSOL
"CM. 3203 km 14,1",L-S: 07:00-14:00; D: 09:00-14:00,38.867556,SALOBRAL (EL),-1.9205,Albacete,1.637,1.179,1.86,,1.692,,,ALBACETE,LOZANO
"CTRA.AGUASNUEVAS KM 0,25",L-D: 24H,38.870278,SALOBRAL (EL),-1.922722,Albacete,,1.2,,,,,,ALBACETE,CORYMAR
"CALLE C/ AUTOVIA C/V AVD. SEXTA, S/N",L-D: 24H,39.029583,ALBACETE,-1.888083,Albacete,,,,,,,,ALBACETE,NATURGY ES  GNV ALBACETE
"CALLE AUTOVIA, SN",L-D: 24H,39.029167,ALBACETE,-1.888333,Albacete,1.619,,,,1.729,,,ALBACETE,LA GAVIOTA GASOLINERA 24 HORA
AUTOVIA A-31 KM. 69,L-D: 06:00-22:00,39.031528,ALBACETE,-1.891361,Albacete,1.719,,1.819,,1.769,,1.929,ALBACETE,REPSOL
"POLIGONO ROMICA C/4, 106",L: 24H,39.060639,ALBACETE,-1.836806,Albacete,1.55,,,,1.62,,,ALBACETE,VILLAFUEL SL
"MADRID-CARTAGENA km 248,5",L-D: 06:00-22:00,38.971722,ALBACETE,-1.845278,Albacete,1.709,,1.779,,1.769,1.819,1.889,ALBACETE,"REPSOL. LOS ANGELES DE LA MANCHA, S.L."
"CARRETERA C-M 332 KM. 2,6",L-D: 06:00-23:30,38.998111,ALBACETE,-1.831611,Albacete,1.749,1.639,1.809,,1.799,,1.929,ALBACETE,"INLOCOR S.L. ""CEPSA"""
"AVENIDA 3ª ESQUINA C/ F Nº3, 3",L-D: 24H,39.009417,ALBACETE,-1.885694,Albacete,1.599,,,,1.699,,,ALBACETE,FAST & GAS
"POLIGONO AVDA. 3ª, ESQUINA C/AUTOVIA, 69",L-D: 24H,39.018,ALBACETE,-1.874333,Albacete,1.629,,1.729,,1.729,,1.859,ALBACETE,ENERCOM CARBURANTES
"SECTOR PARCELA T-3 LOCAL52, 14",L-S: 06:00-23:00; D: 08:00-23:00,39.009639,ALBACETE,-1.878111,Albacete,1.681,,1.717,,1.727,,1.828,ALBACETE,ALCAMPO
